Bedrooms,Location,Price,Furnishing,Bathrooms,Tenant Preferred,Availability,Area (sqft),Area Type,Floor Number,Total Floors,Facing,Page Number
3.0,Nawab Saheb Kunta,72000,Unfurnished,2.0,Bachelors/Family,Immediately,1350.0,super-area,1.0,5.0,,2
3.0,Gachibowli,72000,Semi-Furnished,3.0,Bachelors/Family,Immediately,1615.0,super-area,0.0,20.0,,2
3.0,"Pragathi Nagar, Kukatpally",72000,Unfurnished,2.0,Bachelors/Family,Immediately,1650.0,carpet-area,2.0,4.0,,2
,"Habsiguda, NH 2 2",72000,Furnished,3.0,Bachelors,Immediately,1500.0,carpet-area,2.0,4.0,North,2
3.0,"Kokapet, Outer Ring Road",72000,Furnished,3.0,Bachelors/Family,Immediately,1800.0,super-area,9.0,14.0,East,2
3.0,Nanakaramguda,72000,Semi-Furnished,3.0,Bachelors/Family,Immediately,2500.0,super-area,,10.0,East,2
3.0,Gachibowli,72000,Semi-Furnished,3.0,Family,Immediately,1905.0,super-area,1.0,12.0,North,2
4.0,Madhapur,72000,Furnished,4.0,Bachelors/Family,Immediately,3500.0,super-area,6.0,158.0,,2
,Shamshabad,72000,,,Bachelors/Family,Immediately,15000.0,carpet-area,,,,2
2.0,Hyderabad,72000,Furnished,2.0,Bachelors/Family,Immediately,1100.0,carpet-area,5.0,5.0,,2
,Gachibowli,72000,,,Bachelors/Family,Immediately,,,,,,2
1.0,Hyderabad,72000,Unfurnished,1.0,Bachelors/Family,Immediately,500.0,carpet-area,2.0,2.0,North,3
3.0,"Tellapur, Outer Ring Road",72000,Semi-Furnished,3.0,Bachelors/Family,Immediately,1756.0,carpet-area,22.0,30.0,East,3
4.0,Madhapur,72000,Semi-Furnished,4.0,Family,Immediately,3300.0,carpet-area,9.0,15.0,West,3
4.0,Gachibowli,72000,Furnished,3.0,Bachelors,Immediately,1993.0,super-area,15.0,34.0,East,3
3.0,Petbasheerabad,72000,,,Bachelors/Family,Immediately,,,,,,3
3.0,Kondapur,72000,Furnished,3.0,Bachelors/Family,Immediately,1700.0,carpet-area,6.0,19.0,East,3
2.0,Mohan Nagar Kothapet,72000,Semi-Furnished,2.0,Bachelors/Family,Immediately,1110.0,super-area,4.0,4.0,,3
2.0,Nalagandla,72000,Unfurnished,2.0,Bachelors,Immediately,1345.0,super-area,12.0,22.0,East,3
2.0,Nacharam,72000,Unfurnished,2.0,Bachelors/Family,Immediately,826.0,carpet-area,4.0,4.0,,3
4.0,"Kokapet, Outer Ring Road",72000,Semi-Furnished,4.0,Bachelors,Immediately,2709.0,super-area,21.0,35.0,West,3
