Bedrooms,Location,Price,sSecurity Deposit,Furnishing,Bathrooms,Tenant Preferred,Availability,Area (sqft),Area Type,Floor Number,Total Floors,Facing,Page Number
4.0,"Somajiguda, NH 9",200000.0,yes,Furnished,4.0,Bachelors/Family,Immediately,2800.0,carpet-area,6.0,6.0,,2
3.0,Kompally,29000.0,no,Semi-Furnished,3.0,Bachelors/Family,Immediately,1406.0,super-area,5.0,8.0,,2
3.0,Nawab Saheb Kunta,15000.0,no,Unfurnished,2.0,Bachelors/Family,Immediately,1350.0,super-area,1.0,5.0,,2
3.0,Gachibowli,66000.0,no,Semi-Furnished,3.0,Bachelors/Family,Immediately,1615.0,super-area,0.0,20.0,,2
3.0,"Pragathi Nagar, Kukatpally",20000.0,yes,Unfurnished,2.0,Bachelors/Family,Immediately,1650.0,carpet-area,2.0,4.0,,2
,"Habsiguda, NH 2 2",10000.0,no,Furnished,3.0,Bachelors,Immediately,1500.0,carpet-area,2.0,4.0,North,2
3.0,"Kokapet, Outer Ring Road",55000.0,yes,Furnished,3.0,Bachelors/Family,Immediately,1800.0,super-area,9.0,14.0,East,2
3.0,Nanakaramguda,70000.0,yes,Semi-Furnished,3.0,Bachelors/Family,Immediately,2500.0,super-area,,10.0,East,2
3.0,Gachibowli,66000.0,yes,Semi-Furnished,3.0,Family,Immediately,1905.0,super-area,1.0,12.0,North,2
4.0,Madhapur,140000.0,yes,Furnished,4.0,Bachelors/Family,Immediately,3500.0,super-area,6.0,158.0,,2
,Shamshabad,300000.0,no,,,Bachelors/Family,Immediately,15000.0,carpet-area,,,,2
2.0,Hyderabad,35000.0,yes,Furnished,2.0,Bachelors/Family,Immediately,1100.0,carpet-area,5.0,5.0,,2
1.0,Hyderabad,14000.0,no,Unfurnished,1.0,Bachelors/Family,Immediately,500.0,carpet-area,2.0,2.0,North,3
3.0,"Tellapur, Outer Ring Road",48000.0,no,Semi-Furnished,3.0,Bachelors/Family,Immediately,1756.0,carpet-area,22.0,30.0,East,3
4.0,Madhapur,150000.0,yes,Semi-Furnished,4.0,Family,Immediately,3300.0,carpet-area,9.0,15.0,West,3
4.0,Gachibowli,97500.0,no,Furnished,3.0,Bachelors,Immediately,1993.0,super-area,15.0,34.0,East,3
3.0,Kondapur,75000.0,no,Furnished,3.0,Bachelors/Family,Immediately,1700.0,carpet-area,6.0,19.0,East,3
2.0,Mohan Nagar Kothapet,18000.0,no,Semi-Furnished,2.0,Bachelors/Family,Immediately,1110.0,super-area,4.0,4.0,,3
2.0,Nalagandla,45000.0,yes,Unfurnished,2.0,Bachelors,Immediately,1345.0,super-area,12.0,22.0,East,3
2.0,Nacharam,18000.0,yes,Unfurnished,2.0,Bachelors/Family,Immediately,826.0,carpet-area,4.0,4.0,,3
4.0,"Kokapet, Outer Ring Road",110000.00000000001,yes,Semi-Furnished,4.0,Bachelors,Immediately,2709.0,super-area,21.0,35.0,West,3
2.0,"Pragathi Nagar, Kukatpally",20000.0,yes,Semi-Furnished,2.0,Bachelors,From Mar '26,1050.0,carpet-area,1.0,5.0,East,3
2.0,Masab Tank,18000.0,no,Semi-Furnished,2.0,Bachelors/Family,Immediately,1100.0,super-area,4.0,5.0,North,3
2.0,"Prajay City, Hafeezpet",6800.0,yes,Unfurnished,1.0,Bachelors,Immediately,550.0,carpet-area,4.0,4.0,West,3
3.0,Asif Nagar,20000.0,no,Furnished,2.0,Bachelors,Immediately,1200.0,carpet-area,1.0,5.0,North,3
3.0,"Somajiguda, NH 9",40000.0,no,Unfurnished,2.0,Bachelors/Family,Immediately,1550.0,super-area,1.0,7.0,,3
3.0,"Kukatpally, NH 9",60000.0,yes,Semi-Furnished,3.0,Bachelors,Immediately,1740.0,carpet-area,,,East,3
2.0,Gachibowli,46000.0,yes,Semi-Furnished,2.0,Bachelors,Immediately,940.0,carpet-area,1.0,18.0,East,3
4.0,"Kokapet, Outer Ring Road",100000.0,no,Semi-Furnished,5.0,Bachelors/Family,Immediately,3400.0,super-area,13.0,15.0,,3
4.0,Nalagandla,81999.0,yes,Semi-Furnished,4.0,Bachelors,Immediately,2660.0,super-area,17.0,25.0,East,3
2.0,"Narsingi, Outer Ring Road",30000.0,yes,Furnished,2.0,Bachelors,Immediately,960.0,carpet-area,2.0,5.0,West,3
3.0,"Narsingi, Outer Ring Road",48000.0,yes,Semi-Furnished,3.0,Bachelors,From Apr '26,1695.0,super-area,12.0,12.0,West,3
2.0,Gajularamaram,18000.0,no,Semi-Furnished,2.0,Bachelors,Immediately,1050.0,super-area,1.0,5.0,West,3
2.0,"Bollaram, Outer Ring Road",15000.0,no,Semi-Furnished,2.0,Bachelors/Family,From Apr '26,1185.0,super-area,4.0,6.0,,3
5.0,Jubilee Hills,70000.0,no,Unfurnished,5.0,Bachelors/Family,Immediately,3500.0,super-area,6.0,6.0,,3
3.0,Patancheruvu,30000.0,no,Unfurnished,3.0,Bachelors/Family,Immediately,1585.0,super-area,11.0,14.0,,3
2.0,"Viharika Colony, Peerzadiguda",12000.0,yes,Unfurnished,2.0,Bachelors/Family,Immediately,1117.0,carpet-area,3.0,5.0,East,3
3.0,Gunrock Enclave-Karimnagar Highway,30000.0,no,Unfurnished,2.0,Bachelors/Family,Immediately,1200.0,super-area,1.0,2.0,,3
2.0,Manikonda Jagir,33500.0,no,Semi-Furnished,2.0,Bachelors/Family,Immediately,1200.0,carpet-area,2.0,5.0,East,3
3.0,Maheshwaram,180000.0,yes,Semi-Furnished,3.0,Bachelors/Family,Immediately,1250.0,carpet-area,2.0,5.0,East,3
1.0,"Suraram Village, Suraram",8500.0,yes,Unfurnished,1.0,Bachelors/Family,Immediately,550.0,carpet-area,2.0,4.0,,4
2.0,Hyderabad,45000.0,no,Semi-Furnished,2.0,Bachelors,Immediately,1200.0,carpet-area,10.0,13.0,East,4
3.0,Nalagandla,60000.0,yes,Semi-Furnished,2.0,Bachelors,Immediately,1016.0,carpet-area,10.0,24.0,East,4
2.0,Lalaguda Mettuguda,30000.0,no,Furnished,2.0,Bachelors/Family,Immediately,1000.0,carpet-area,2.0,5.0,West,4
3.0,"Tellapur, Outer Ring Road",49000.0,no,Semi-Furnished,3.0,Bachelors/Family,Immediately,2083.0,super-area,4.0,9.0,East,4
3.0,"Narsingi, Outer Ring Road",88000.0,yes,Semi-Furnished,3.0,Bachelors/Family,Immediately,2660.0,super-area,,3.0,East,4
3.0,"Narsingi, Outer Ring Road",75000.0,yes,Semi-Furnished,3.0,Bachelors,Immediately,2125.0,super-area,18.0,31.0,West,4
3.0,Power Welfare Society,65000.0,yes,Furnished,3.0,Bachelors/Family,Immediately,1796.0,carpet-area,24.0,30.0,East,4
3.0,Kondapur,68000.0,yes,Semi-Furnished,3.0,Bachelors/Family,Immediately,1500.0,carpet-area,5.0,19.0,West,4
1.0,Kondapur,16000.0,yes,Unfurnished,1.0,Bachelors/Family,Immediately,550.0,carpet-area,2.0,4.0,North,4
3.0,Kukatpally Housing Board Road,37000.0,no,Semi-Furnished,2.0,Bachelors,Immediately,1415.0,carpet-area,3.0,5.0,North,4
3.0,Kharmanghat,25000.0,yes,,3.0,Family,Immediately,1450.0,carpet-area,2.0,4.0,East,4
3.0,"Pocharam, NH 2 2",25000.0,yes,Semi-Furnished,2.0,Bachelors/Family,Immediately,1210.0,carpet-area,,,West,4
3.0,Nallagandla Tellapur Road,60000.0,no,Semi-Furnished,2.0,Bachelors,From Jan '35,1605.0,super-area,11.0,24.0,West,4
1.0,"Yellamma Banda, Jagadgiri Gutta",15000.0,no,Semi-Furnished,1.0,Bachelors,Immediately,600.0,super-area,2.0,3.0,,4
3.0,"Kollur, Outer Ring Road",50000.0,yes,Furnished,3.0,Family,Immediately,1600.0,carpet-area,3.0,8.0,East,4
3.0,Adibatla,15000.0,no,Semi-Furnished,2.0,Bachelors/Family,Immediately,1000.0,super-area,2.0,6.0,,4
2.0,Medipally,13000.0,yes,Unfurnished,2.0,Bachelors,Immediately,90.0,carpet-area,2.0,3.0,South,4
3.0,Jubilee Hills,229999.99999999997,yes,Semi-Furnished,4.0,Bachelors,Immediately,4000.0,carpet-area,5.0,6.0,East,4
3.0,"Manchirevula, Outer Ring Road",70000.0,no,Semi-Furnished,2.0,Bachelors,Immediately,1400.0,carpet-area,8.0,9.0,East,4
3.0,Kalyan Nagar Moti Nagar,45000.0,yes,Furnished,3.0,Family,Immediately,14500.0,carpet-area,1.0,4.0,East,4
3.0,Moti Nagar Erragadda,25000.0,no,Unfurnished,3.0,Bachelors,Immediately,1200.0,carpet-area,0.0,3.0,,4
2.0,"Chaitanyapuri, Kothapet",20000.0,no,Unfurnished,2.0,Bachelors/Family,Immediately,1200.0,super-area,3.0,3.0,,4
2.0,Hyderabad,10000.0,no,Semi-Furnished,2.0,Bachelors/Family,From Apr '26,815.0,carpet-area,5.0,5.0,East,4
3.0,Nalagandla,80000.0,yes,Furnished,3.0,Bachelors,Immediately,1960.0,super-area,22.0,24.0,East,4
3.0,Kothapet,30000.0,no,Unfurnished,3.0,Bachelors,Immediately,1200.0,carpet-area,2.0,5.0,East,4
5.0,Madhapur,240000.0,yes,Semi-Furnished,6.0,Family,Immediately,5500.0,carpet-area,8.0,8.0,North,4
3.0,Madhura Nagar Nizampet,22000.0,no,Unfurnished,3.0,Bachelors/Family,Immediately,1600.0,carpet-area,1.0,5.0,West,4
3.0,Madhapur,70000.0,yes,Semi-Furnished,3.0,Bachelors/Family,Immediately,2100.0,carpet-area,3.0,5.0,,4
3.0,Hyderabad,25000.0,no,Unfurnished,3.0,Bachelors/Family,Immediately,1400.0,super-area,3.0,3.0,,4
3.0,Kondapur,50000.0,yes,Semi-Furnished,3.0,Family,Immediately,1198.0,carpet-area,23.0,39.0,East,5
3.0,Madhapur,80000.0,no,Unfurnished,4.0,Bachelors/Family,Immediately,3000.0,super-area,4.0,15.0,,5
3.0,Hyderabad,19000.0,no,Semi-Furnished,3.0,Bachelors,Immediately,1300.0,carpet-area,1.0,5.0,East,5
3.0,Kushaiguda,14000.0,no,Unfurnished,3.0,Bachelors,Immediately,1400.0,super-area,1.0,3.0,East,5
2.0,"Kukatpally Housing Board Colony, NH 9",220000.00000000003,no,Semi-Furnished,2.0,Family,Immediately,1200.0,super-area,,3.0,,5
2.0,Ameenpur,15000.0,yes,Semi-Furnished,2.0,Bachelors/Family,Immediately,1100.0,carpet-area,1.0,5.0,East,5
2.0,Sangeet Nagar Kukatpally,40000.0,no,Semi-Furnished,2.0,Bachelors,Immediately,1070.0,carpet-area,1.0,17.0,,5
4.0,Shaikpet,290000.0,yes,Semi-Furnished,5.0,Bachelors,Immediately,5126.0,super-area,0.0,34.0,West,5
3.0,Srinivas Colony Nizampet,38000.0,no,Semi-Furnished,3.0,Bachelors/Family,Immediately,1710.0,carpet-area,2.0,5.0,,5
3.0,Chanda Nagar,46000.0,yes,Semi-Furnished,3.0,Family,Immediately,1610.0,super-area,1.0,14.0,East,5
3.0,"Kokapet, Outer Ring Road",50000.0,no,Furnished,3.0,Bachelors/Family,Immediately,1600.0,super-area,3.0,6.0,,5
2.0,"Vittal Rao Nagar, Hitech City",35000.0,yes,Semi-Furnished,2.0,Bachelors,Immediately,1370.0,super-area,1.0,3.0,North - East,5
2.0,Kondapur,49000.0,yes,Semi-Furnished,2.0,Bachelors,Immediately,1495.0,super-area,12.0,26.0,West,5
1.0,"Miyapur, NH 9",9000.0,yes,Furnished,1.0,Bachelors,Immediately,590.0,carpet-area,7.0,20.0,East,5
3.0,Kompally,35000.0,no,Furnished,3.0,Bachelors/Family,Immediately,1720.0,super-area,4.0,5.0,,5
2.0,"Gundlapochampally, Outer Ring Road",20000.0,yes,Unfurnished,2.0,Bachelors,Immediately,1362.0,super-area,7.0,15.0,East,5
3.0,Toli Chowki,30000.0,yes,Semi-Furnished,3.0,Bachelors,Immediately,1600.0,carpet-area,2.0,4.0,East,5
3.0,"Patrika Nagar, Hitech City",76000.0,yes,Furnished,3.0,Bachelors,Immediately,2100.0,super-area,5.0,10.0,North - East,5
1.0,"Ameerpet, NH 9",10000.0,no,Unfurnished,1.0,Bachelors/Family,Immediately,300.0,super-area,4.0,5.0,,5
3.0,Gachibowli,70000.0,no,Unfurnished,3.0,Bachelors,Immediately,2360.0,super-area,10.0,15.0,West,5
3.0,Appa Junction Area,38000.0,yes,Semi-Furnished,3.0,Family,Immediately,1700.0,carpet-area,11.0,14.0,North,5
2.0,Nizampet,18000.0,yes,Semi-Furnished,2.0,Bachelors/Family,Immediately,1400.0,carpet-area,2.0,2.0,North,5
3.0,Nalagandla,58000.0,yes,Semi-Furnished,3.0,Bachelors,Immediately,1790.0,super-area,11.0,24.0,West,5
2.0,Nizampet,22000.0,no,Furnished,2.0,Bachelors/Family,Immediately,1100.0,super-area,4.0,5.0,,5
4.0,Gachibowli,210000.0,yes,Furnished,5.0,Family,Immediately,4600.0,super-area,6.0,24.0,East,5
3.0,Gachibowli,50000.0,yes,Furnished,3.0,Bachelors/Family,Immediately,1670.0,super-area,3.0,3.0,East,5
2.0,Chanda Nagar,20000.0,no,Unfurnished,2.0,Bachelors/Family,Immediately,1200.0,super-area,1.0,5.0,,5
2.0,Kondapur,35000.0,yes,Semi-Furnished,2.0,Bachelors,From Apr '26,1150.0,carpet-area,2.0,4.0,East,5
2.0,Alwal,13500.0,no,Semi-Furnished,2.0,Bachelors/Family,Immediately,2400.0,super-area,2.0,4.0,,5
3.0,HUDA Layout Nalagandla,43000.0,yes,Semi-Furnished,3.0,Family,Immediately,1550.0,carpet-area,7.0,10.0,East,6
2.0,"Banjara Hills, NH 9",150000.0,yes,Furnished,3.0,Bachelors,Immediately,2000.0,carpet-area,4.0,4.0,,6
1.0,Hyderabad,130000.0,yes,Semi-Furnished,1.0,Bachelors/Family,Immediately,900.0,super-area,4.0,5.0,,6
3.0,"Ghatkesar, NH 2 2",20000.0,no,Furnished,3.0,Bachelors/Family,Immediately,1400.0,super-area,4.0,4.0,South,6
3.0,Nanakaramguda,65000.0,yes,Semi-Furnished,3.0,Bachelors/Family,Immediately,1275.0,carpet-area,9.0,26.0,West,6
3.0,Nalagandla,60000.0,no,Furnished,3.0,Bachelors/Family,Immediately,1800.0,carpet-area,6.0,8.0,North - West,6
3.0,Kondapur,58000.0,no,Furnished,3.0,Bachelors/Family,Immediately,2100.0,super-area,2.0,23.0,,6
3.0,"Manchirevula, Outer Ring Road",55000.0,no,Semi-Furnished,3.0,Bachelors/Family,Immediately,3000.0,super-area,2.0,5.0,,6
2.0,Asif Nagar,150000.0,no,Unfurnished,2.0,Bachelors/Family,Immediately,900.0,carpet-area,0.0,5.0,,6
4.0,Kukatpally Housing Board Road,60000.0,no,Semi-Furnished,4.0,Bachelors,Immediately,2100.0,carpet-area,2.0,11.0,North - East,6
3.0,"Samata Colony, Toli Chowki",35000.0,no,Unfurnished,3.0,Bachelors/Family,Immediately,1800.0,super-area,5.0,6.0,,6
1.0,Hyderabad,12500.0,no,Furnished,1.0,Bachelors/Family,Immediately,600.0,super-area,0.0,2.0,,6
3.0,Kondapur,35000.0,yes,Semi-Furnished,3.0,Bachelors,Immediately,1500.0,super-area,3.0,5.0,West,6
4.0,Madhapur,94000.0,yes,Semi-Furnished,4.0,Family,Immediately,2900.0,carpet-area,3.0,5.0,North,6
3.0,Kondapur,60000.0,yes,Semi-Furnished,3.0,Bachelors/Family,Immediately,1100.0,carpet-area,14.0,39.0,West,6
2.0,Kondapur,35000.0,yes,Semi-Furnished,2.0,Family,Immediately,1100.0,carpet-area,4.0,4.0,West,6
3.0,Khajaguda,70000.0,yes,Semi-Furnished,3.0,Bachelors/Family,Immediately,2100.0,carpet-area,4.0,10.0,West,6
3.0,Hitech City,60000.0,no,Unfurnished,3.0,Bachelors,Immediately,2187.0,super-area,2.0,8.0,West,6
3.0,Chitrapuri Colony,60000.0,no,Semi-Furnished,3.0,Bachelors,Immediately,2200.0,carpet-area,4.0,9.0,East,6
4.0,Zahara Nagar,200000.0,yes,Semi-Furnished,4.0,Family,Immediately,2350.0,carpet-area,3.0,5.0,West,6
2.0,Gachibowli,50000.0,yes,Furnished,2.0,Bachelors,Immediately,798.0,carpet-area,15.0,18.0,West,6
2.0,Nalagandla,45000.0,yes,Semi-Furnished,2.0,Bachelors/Family,Immediately,1275.0,super-area,11.0,26.0,West,6
3.0,Gachibowli,80000.0,no,Semi-Furnished,3.0,Bachelors/Family,Immediately,1925.0,super-area,21.0,34.0,,6
3.0,Puppalguda,65000.0,yes,Semi-Furnished,3.0,Bachelors,Immediately,1140.0,carpet-area,18.0,30.0,East,6
1.0,Masjid Banda,23000.0,yes,Furnished,1.0,Bachelors/Family,Immediately,450.0,carpet-area,5.0,5.0,North,6
3.0,Nalagandla,63875.0,no,Semi-Furnished,3.0,Bachelors/Family,Immediately,1875.0,super-area,8.0,24.0,East,6
1.0,Kondapur,23500.0,yes,Furnished,1.0,Bachelors,Immediately,560.0,carpet-area,4.0,5.0,East,6
1.0,Kondapur,23500.0,yes,Furnished,1.0,Bachelors,Immediately,560.0,carpet-area,3.0,5.0,East,6
1.0,Kondapur,25000.0,yes,Furnished,1.0,Bachelors,Immediately,600.0,carpet-area,4.0,5.0,North,6
1.0,Kondapur,24000.0,yes,Furnished,1.0,Bachelors,Immediately,560.0,carpet-area,3.0,5.0,East,6
2.0,Kondapur,40000.0,no,Furnished,2.0,Bachelors,Immediately,1235.0,super-area,4.0,5.0,North,7
1.0,Kondapur,22000.0,yes,Furnished,1.0,Bachelors,Immediately,560.0,carpet-area,4.0,5.0,North,7
3.0,"Narsingi, Outer Ring Road",50000.0,yes,Semi-Furnished,3.0,Family,Immediately,1150.0,carpet-area,14.0,18.0,West,7
2.0,"Hyder Nagar, NH 9",23000.0,yes,Unfurnished,2.0,Bachelors/Family,Immediately,1100.0,carpet-area,2.0,5.0,,7
4.0,Whitefields,200000.0,yes,Semi-Furnished,6.0,Bachelors/Family,Immediately,3590.0,carpet-area,7.0,20.0,West,7
2.0,Gachibowli,45000.0,no,Semi-Furnished,2.0,Bachelors/Family,Immediately,1350.0,super-area,2.0,15.0,,7
3.0,"Narsingi, Outer Ring Road",75000.0,yes,Semi-Furnished,3.0,Bachelors,Immediately,2020.0,super-area,17.0,39.0,West,7
3.0,"Kokapet, Outer Ring Road",80000.0,yes,Semi-Furnished,3.0,Family,Immediately,2124.0,super-area,30.0,34.0,West,7
1.0,Gangaram Chanda Nagar,22000.0,yes,Furnished,1.0,Bachelors/Family,Immediately,480.0,carpet-area,5.0,5.0,East,7
3.0,Gachibowli,60000.0,no,Furnished,3.0,Bachelors/Family,Immediately,1895.0,super-area,1.0,6.0,East,7
3.0,Kondapur,140000.0,yes,Semi-Furnished,3.0,Family,Immediately,2530.0,super-area,10.0,24.0,West,7
3.0,"Narsingi, Outer Ring Road",62000.0,yes,Semi-Furnished,3.0,Bachelors,Immediately,1500.0,carpet-area,12.0,30.0,East,7
3.0,"Narsingi, Outer Ring Road",62000.0,yes,Semi-Furnished,3.0,Bachelors,Immediately,1715.0,super-area,13.0,39.0,West,7
2.0,Kondapur,45000.0,yes,Semi-Furnished,2.0,Bachelors/Family,Immediately,1200.0,carpet-area,5.0,5.0,North,7
3.0,Yapral,35000.0,no,Semi-Furnished,3.0,Bachelors/Family,Immediately,1585.0,carpet-area,2.0,5.0,West,7
3.0,"Narsingi, Outer Ring Road",72000.0,no,Furnished,3.0,Bachelors,Immediately,1860.0,super-area,2.0,40.0,West,7
3.0,"Kukatpally, NH 9",85000.0,no,,,Bachelors/Family,Immediately,2840.0,super-area,,,,7
3.0,Gachibowli,52000.0,yes,Semi-Furnished,3.0,Bachelors,Immediately,886.0,carpet-area,2.0,18.0,West,7
2.0,"Sun City, Bandlaguda, Chevella Road",15000.0,yes,Unfurnished,2.0,Family,Immediately,1150.0,carpet-area,1.0,3.0,East,7
2.0,HUDA Layout Nalagandla,43000.0,yes,Semi-Furnished,2.0,Bachelors/Family,Immediately,1000.0,carpet-area,3.0,14.0,East,7
3.0,"Pocharam, NH 2 2",18000.0,yes,Semi-Furnished,3.0,Family,Immediately,1400.0,carpet-area,3.0,4.0,,7
2.0,Kondapur,40000.0,yes,Furnished,2.0,Bachelors/Family,Immediately,1200.0,carpet-area,4.0,5.0,East,7
2.0,Kompally,25000.0,yes,Semi-Furnished,2.0,Bachelors,Immediately,764.0,carpet-area,2.0,10.0,West,7
3.0,Hyderabad,40000.0,no,Semi-Furnished,3.0,Bachelors/Family,Immediately,2200.0,super-area,3.0,5.0,,7
3.0,"Banjara Hills, NH 9",170000.0,yes,Semi-Furnished,3.0,Bachelors,From Mar '26,3000.0,super-area,2.0,5.0,East,7
2.0,"Pragathi Nagar, Kukatpally",18000.0,yes,Unfurnished,2.0,Family,Immediately,797.0,carpet-area,4.0,5.0,West,7
3.0,"Kokapet, Outer Ring Road",62000.0,yes,Semi-Furnished,3.0,Bachelors,Immediately,1960.0,super-area,10.0,14.0,North,7
3.0,"Narsingi, Outer Ring Road",65000.0,no,Semi-Furnished,3.0,Bachelors/Family,Immediately,1715.0,super-area,11.0,39.0,,7
2.0,Puppalguda,25000.0,no,Semi-Furnished,2.0,Bachelors,Immediately,1150.0,carpet-area,1.0,5.0,West,7
3.0,Sri Ram Nagar Colony Banjara Hills,80000.0,no,Semi-Furnished,4.0,Bachelors,Immediately,2800.0,carpet-area,2.0,4.0,North,7
