BHK,Location,Price,Furnishing,Bathrooms,Tenant Preferred,Availability,Area (sqft),Area Type,Floor Number,Total Floors,Facing,Balcony,Page Number
1.0,Ameenpur,6000.0,Unfurnished,1.0,Bachelors/Family,Immediately,400.0,carpet-area,2.0,3.0,,1.0,1
2.0,Hyderabad,22000.0,Semi-Furnished,2.0,Bachelors/Family,Immediately,1400.0,super-area,1.0,3.0,,,1
2.0,Gachibowli,65000.0,Furnished,2.0,Bachelors/Family,From Mar '26,1245.0,super-area,29.0,33.0,,1.0,1
2.0,"Sun City, Bandlaguda, Chevella Road",30000.0,Furnished,2.0,Bachelors/Family,From Apr '26,1050.0,carpet-area,5.0,5.0,,1.0,1
3.0,Kapra,11000.0,Furnished,3.0,Bachelors/Family,Immediately,1588.0,super-area,3.0,5.0,,1.0,1
3.0,Hyderabad,36000.0,Semi-Furnished,3.0,Family,Immediately,1700.0,carpet-area,1.0,3.0,North,3.0,2
1.0,Hyderabad,9000.0,Unfurnished,1.0,Bachelors/Family,Immediately,60.0,super-area,1.0,2.0,,,2
2.0,"Yousufguda, NH 9",,Semi-Furnished,2.0,Bachelors/Family,Immediately,1200.0,carpet-area,3.0,4.0,,1.0,2
3.0,"Alkapur Township, Manikonda, Outer Ring Road",65000.0,Furnished,3.0,Bachelors/Family,Immediately,2350.0,carpet-area,1.0,2.0,East,3.0,2
2.0,Nalagandla,42500.0,Unfurnished,2.0,Bachelors,Immediately,1350.0,carpet-area,10.0,30.0,East,2.0,2
3.0,Chandrayangutta,26000.0,Unfurnished,2.0,Bachelors,Immediately,,carpet-area,3.0,5.0,West,2.0,2
3.0,Hitech City,,Unfurnished,3.0,Bachelors/Family,Immediately,2680.0,super-area,23.0,36.0,East,2.0,2
3.0,Upperpally,22000.0,Unfurnished,2.0,Family,Immediately,1500.0,carpet-area,1.0,5.0,North - East,2.0,2
2.0,KPHB Phase 15,17200.0,Unfurnished,1.0,Bachelors,Immediately,1000.0,carpet-area,2.0,5.0,East,1.0,2
2.0,"Narsingi, Outer Ring Road",55000.0,Semi-Furnished,2.0,Bachelors,Immediately,871.0,carpet-area,24.0,39.0,East,1.0,2
3.0,Kothaguda,70000.0,Semi-Furnished,2.0,Bachelors/Family,Immediately,1456.0,super-area,22.0,40.0,,,2
3.0,"Banjara Hills, NH 9",,Semi-Furnished,4.0,Bachelors/Family,Immediately,2375.0,super-area,1.0,5.0,East,,2
3.0,Hyderabad,35000.0,Semi-Furnished,3.0,Bachelors/Family,From Apr '26,1290.0,carpet-area,8.0,14.0,,1.0,2
1.0,Old Bowenpally,6500.0,Unfurnished,1.0,Bachelors/Family,Immediately,650.0,super-area,2.0,3.0,,,2
3.0,Sultan Bazar,22000.0,Semi-Furnished,2.0,Bachelors/Family,Immediately,1100.0,super-area,3.0,5.0,,,2
1.0,Hyderabad,13500.0,Unfurnished,1.0,Bachelors/Family,Immediately,600.0,carpet-area,3.0,3.0,,1.0,2
3.0,"Kokapet, Outer Ring Road",80000.0,Semi-Furnished,3.0,Bachelors,Immediately,2000.0,carpet-area,20.0,35.0,West,2.0,2
1.0,Gachibowli,20000.0,Semi-Furnished,1.0,Bachelors/Family,Immediately,800.0,super-area,4.0,6.0,,,2
4.0,"Somajiguda, NH 9",,Furnished,4.0,Bachelors/Family,Immediately,2800.0,carpet-area,6.0,6.0,,2.0,2
3.0,Kompally,29000.0,Semi-Furnished,3.0,Bachelors/Family,Immediately,1406.0,super-area,5.0,8.0,,,2
3.0,Nawab Saheb Kunta,15000.0,Unfurnished,2.0,Bachelors/Family,Immediately,1350.0,super-area,1.0,5.0,,2.0,2
3.0,Gachibowli,66000.0,Semi-Furnished,3.0,Bachelors/Family,Immediately,1615.0,super-area,,20.0,,,2
3.0,"Pragathi Nagar, Kukatpally",20000.0,Unfurnished,2.0,Bachelors/Family,Immediately,1650.0,carpet-area,2.0,4.0,,1.0,2
,"Habsiguda, NH 2 2",10000.0,Furnished,3.0,Bachelors,Immediately,1500.0,carpet-area,2.0,4.0,North,3.0,2
3.0,"Kokapet, Outer Ring Road",55000.0,Furnished,3.0,Bachelors/Family,Immediately,1800.0,super-area,9.0,14.0,East,3.0,2
3.0,Nanakaramguda,70000.0,Semi-Furnished,3.0,Bachelors/Family,Immediately,2500.0,super-area,,10.0,East,2.0,2
3.0,Mayuri Nagar Miyapur,36000.0,Semi-Furnished,3.0,Family,Immediately,1250.0,carpet-area,3.0,10.0,West,2.0,2
3.0,Gachibowli,66000.0,Semi-Furnished,3.0,Family,Immediately,1905.0,super-area,1.0,12.0,North,1.0,2
4.0,Madhapur,,Furnished,4.0,Bachelors/Family,Immediately,3500.0,super-area,6.0,158.0,,3.0,2
,Shamshabad,,,,Bachelors/Family,Immediately,15000.0,carpet-area,,,,,2
3.0,Gopanpally,64000.0,Semi-Furnished,3.0,Bachelors/Family,From Apr '26,1965.0,super-area,3.0,31.0,West,1.0,3
2.0,Hyderabad,35000.0,Furnished,2.0,Bachelors/Family,Immediately,1100.0,carpet-area,5.0,5.0,,2.0,3
,Gachibowli,,,,Bachelors/Family,Immediately,,,,,,,3
1.0,Hyderabad,14000.0,Unfurnished,1.0,Bachelors/Family,Immediately,500.0,carpet-area,2.0,2.0,North,1.0,3
