Title,BHK,Location,Price,Furnishing,Bathrooms,Tenant Preferred,Availability,Area (sqft),Area Type,Floor Number,Total Floors,Facing,Balcony,Page Number
"1 BHK Flat  for Rent in Sri Ram Nagar Kondapur, Hyderabad",1.0,Sri Ram Nagar Kondapur,,Furnished,1,Bachelors/Family,Immediately,500,carpet-area,3,6,East,1,6
"3 BHK Flat  for Rent in Nallagandla Tellapur Road, Hyderabad",3.0,Nallagandla Tellapur Road,,Semi-Furnished,3,Bachelors,Immediately,1875,super-area,9,24,East,1,6
"3 BHK Flat  for Rent in Gachibowli, Hyderabad",3.0,Gachibowli,8000.0,Semi-Furnished,3,Bachelors,Immediately,1796,carpet-area,8,33,East,1,6
"3 BHK Flat  for Rent in Gachibowli, Hyderabad",3.0,Gachibowli,8000.0,Semi-Furnished,3,Bachelors/Family,Immediately,1993,super-area,20,34,East,3,7
"2 BHK Flat  for Rent in Kondapur, Hyderabad",2.0,Kondapur,,Semi-Furnished,2,Bachelors,Immediately,1435,super-area,8,26,East,1,7
"3 BHK Flat  for Rent in Kondapur, Hyderabad",3.0,Kondapur,,Semi-Furnished,3,Bachelors,Immediately,1800,carpet-area,1,3,North - East,3,7
"1 BHK Flat  for Rent in Kondapur, Hyderabad",1.0,Kondapur,,Semi-Furnished,1,Bachelors,Immediately,700,carpet-area,7,7,North - East,1,7
"3 BHK Flat  for Rent in Hitech City, Hyderabad",3.0,Hitech City,,Semi-Furnished,3,Bachelors/Family,Immediately,3430,super-area,27,34,East,2,7
"2 BHK Flat  for Rent in Kondapur, Hyderabad",2.0,Kondapur,,Semi-Furnished,2,Bachelors,Immediately,1200,carpet-area,3,5,North - East,2,7
"3 BHK Flat  for Rent in Shaikpet, Hyderabad",3.0,Shaikpet,14000.0,Semi-Furnished,3,Family,Immediately,2876,super-area,18,20,East,1,7
"3 BHK Flat  for Rent in Masjid Banda, Hyderabad",3.0,Masjid Banda,6500.0,Semi-Furnished,3,Family,Immediately,1710,super-area,12,19,East,1,7
"3 BHK Flat  for Rent in Tellapur, Outer Ring Road, Hyderabad",3.0,"Tellapur, Outer Ring Road",,Semi-Furnished,2,Bachelors/Family,Immediately,1326,carpet-area,10,39,North - East,,7
"3 BHK Flat  for Rent in Narsingi, Outer Ring Road, Hyderabad",3.0,"Narsingi, Outer Ring Road",5000.0,Semi-Furnished,3,Bachelors/Family,Immediately,1834,super-area,24,30,East,1,7
"3 BHK Flat  for Rent in Masjid Banda, Hyderabad",3.0,Masjid Banda,6500.0,Furnished,3,Family,Immediately,1880,super-area,1,19,East,2,7
"2 BHK Flat  for Rent in Miyapur, NH 9, Hyderabad",2.0,"Miyapur, NH 9",,Semi-Furnished,2,Bachelors,Immediately,1225,carpet-area,39,40,West,2,7
"2 BHK Flat  for Rent in Kondapur, Hyderabad",2.0,Kondapur,,Furnished,2,Bachelors,Immediately,1400,carpet-area,6,7,East,1,8
"3 BHK Flat  for Rent in Narsingi, Outer Ring Road, Hyderabad",3.0,"Narsingi, Outer Ring Road",7274.0,Semi-Furnished,3,Bachelors/Family,Immediately,1800,carpet-area,6,30,West,2,8
"3 BHK Flat  for Rent in Kondapur, Hyderabad",3.0,Kondapur,7500.0,Semi-Furnished,3,Bachelors/Family,Immediately,1450,carpet-area,24,39,East,2,8
"3 BHK Flat  for Rent in Kondapur, Hyderabad",3.0,Kondapur,,Semi-Furnished,3,Bachelors,Immediately,2000,super-area,10,19,East,2,8
"3 BHK Flat  for Rent in Nalagandla, Hyderabad",3.0,Nalagandla,,Semi-Furnished,2,Bachelors/Family,Immediately,1245,super-area,7,14,West,1,8
"3 BHK Flat  for Rent in Hitech City, Hyderabad",3.0,Hitech City,5000.0,Semi-Furnished,3,Bachelors,Immediately,2125,carpet-area,5,16,East,2,8
"2 BHK Flat  for Rent in Gachibowli, Hyderabad",2.0,Gachibowli,5000.0,Semi-Furnished,2,Bachelors,Immediately,1283,super-area,18,33,East,1,8
"1 BHK Flat  for Rent in Sri Ram Nagar Kondapur, Hyderabad",1.0,Sri Ram Nagar Kondapur,,Furnished,1,Bachelors/Family,Immediately,500,carpet-area,2,6,North,1,8
"2 BHK Flat  for Rent in Nalagandla, Hyderabad",2.0,Nalagandla,,Semi-Furnished,2,Bachelors/Family,Immediately,1275,super-area,11,26,West,1,9
"3 BHK Flat  for Rent in Gachibowli, Hyderabad",3.0,Gachibowli,11000.0,Semi-Furnished,3,Bachelors,Immediately,2300,super-area,19,24,North,2,9
"3 BHK Flat  for Rent in Masjid Banda, Hyderabad",3.0,Masjid Banda,,Semi-Furnished,2,Family,Immediately,1498,super-area,18,33,East,3,9
"3 BHK Flat  for Rent in Gachibowli, Hyderabad",3.0,Gachibowli,5000.0,Furnished,3,Bachelors/Family,Immediately,1670,super-area,3,3,East,3,9
"2 BHK Flat  for Rent in Narsingi, Outer Ring Road, Hyderabad",2.0,"Narsingi, Outer Ring Road",3500.0,Unfurnished,2,Family,Immediately,1314,super-area,26,30,East,1,9
"3 BHK Flat  for Rent in Masjid Banda, Hyderabad",3.0,Masjid Banda,10000.0,Semi-Furnished,3,Family,Immediately,2550,super-area,Ground,19,North,1,9
"3 BHK Flat  for Rent in Narsingi, Outer Ring Road, Hyderabad",3.0,"Narsingi, Outer Ring Road",,Semi-Furnished,3,Family,Immediately,1535,super-area,15,20,East,1,9
"4 BHK Flat  for Rent in Hitech City, Hyderabad",4.0,Hitech City,15000.0,Semi-Furnished,5,Bachelors/Family,Immediately,3100,carpet-area,4,12,North,2,9
"3 BHK Flat  for Rent in Prashasan Nagar, Hyderabad",3.0,Prashasan Nagar,3000.0,Semi-Furnished,3,Bachelors/Family,Immediately,2800,carpet-area,5,5,North - East,3,9
"1 BHK Flat  for Rent in Whitefields, Hyderabad",1.0,Whitefields,1000.0,Semi-Furnished,1,Bachelors/Family,Immediately,500,carpet-area,4,6,East,,9
"2 BHK Flat  for Rent in Gachibowli, Hyderabad",2.0,Gachibowli,,Semi-Furnished,2,Bachelors/Family,Immediately,1283,super-area,8,33,,1,9
"3 BHK Flat  for Rent in Kokapet, Outer Ring Road, Hyderabad",3.0,"Kokapet, Outer Ring Road",4500.0,Semi-Furnished,3,Bachelors/Family,Immediately,1335,carpet-area,16,38,East,2,10
"3 BHK Flat  for Rent in Nalagandla, Hyderabad",3.0,Nalagandla,6500.0,Semi-Furnished,3,Bachelors/Family,Immediately,1500,carpet-area,6,10,East,1,10
"3 BHK Flat  for Rent in Kokapet, Outer Ring Road, Hyderabad",3.0,"Kokapet, Outer Ring Road",7400.0,Semi-Furnished,3,Family,Immediately,1700,carpet-area,1,18,East,1,10
"3 BHK Flat  for Rent in Kokapet, Outer Ring Road, Hyderabad",3.0,"Kokapet, Outer Ring Road",,Semi-Furnished,3,,Const. Age Less than 5 years,1361,carpet-area,16,34,East,2,10
"1 BHK Flat  for Rent in Kondapur, Hyderabad",1.0,Kondapur,1000.0,Furnished,1,Bachelors,Immediately,520,carpet-area,5,6,East,1,10
"3 BHK Flat  for Rent in Masjid Banda, Hyderabad",3.0,Masjid Banda,10000.0,Semi-Furnished,3,Family,Immediately,2465,super-area,4,19,North,1,10
"2 BHK Flat  for Rent in Narsingi, Outer Ring Road, Hyderabad",2.0,"Narsingi, Outer Ring Road",5000.0,Semi-Furnished,2,Bachelors,Immediately,1370,super-area,12,39,East,1,10
